project_name,project_sector
"Granite Stone Quarry at Oke-Igbo, Ile-Oluji/Oke-Igbo LGA",Mining
Mineral Exploration (22657 SSML) at Logo and Wukari LGAs,Mining
Construction of 120 Racks Capacity Data Center at Ogombo in Eti-Osa LGA,Infrastructure
Agro-Processing Facility in Epe LGA,Manufacturing
"Government Specialist Hospital at Rumuokwuta, Old GRA, Port Harcourt",Infrastructure
"Private Specialist Hospital at Amaji Street, GRA, Port Harcourt",Infrastructure
Road Components in the Agribusiness Investment Region of the Special Agro-Industrial Processing Zones (SAPZ) in Alape,Infrastructure
"Sand Mining/Dredging at Qua Iboe River, Marina Atibe Village, Eket LGA",Mining
Exploration of Fluorite Deposit (28265EL) in Deba LGA,Mining
Small Scale Mining (SSML 21711) in Jos South LGA,Mining
Oyo State Gas Distribution Project,Oil & Gas
"210MTD Mini-LNG Facility in Owaza, Asa South Community, Ukwa West LGA",Oil & Gas
"Lead, Zinc, Barite Mining (SSML 28475) in Obubra LGA",Mining
"Green Pastures Housing Estate Development within RCCG Camp, Mowe",Infrastructure
Gold Mining (EL 31379) in Borgu LGA,Mining
Sand Dredging and Mining (SSML 23252) at Chikun/Igabi LGAs,Mining
Gemstone Mining (SSML 22193) at Iwajowa LGA,Mining
Gemstone Mining (SSML 22194) at Iwajowa LGA,Mining
"Gold Feathers Fertilizer Plant at Giri District, Gwagwalada Area Council, Abuja",Manufacturing
ATC Nigeria Phase 15 BTS (202 BTS across 31 States and the FCT),Telecommunications
"International Economic City, Plot 2, Gude District, Abuja",Infrastructure
"Cassava Plantation and Processing for Bioethanol Refinery, Ikole LGA",Agriculture
Escravos Seaport Industrial Complex (ESIC-1),Infrastructure
"Shoreline Protection and Retaining Walls Project at Eleme Street Shorelines, Old GRA, Port Harcourt",Infrastructure
"250Ha Industrial Park for Kogi State Component of the SAPZ, Alape, Odo Ape, Kabba / Bunu LGAs",Infrastructure
"ESMP for the Asphalt Hot-Mix Plant in Iko town, Eastern Obolo LGA",Manufacturing
"Gold Mine Quarry at Batibo, Kaiama LGA",Mining
Agro-Industrial Park at Markudi,Agriculture
"Construction of Bound Terminal /Jetty Project at Custom Point, Otto-Awori, Ojo LGA",Infrastructure
"Trans-Kalabari Road, Asari-Toru LGA",Infrastructure
"Construction of Chokocho - Okomoko -Umuakpo - Ibodo road, Etche LGA",Infrastructure
Oyigbo - Afam - Umuosi - Obete road in Oyibo LGA,Infrastructure
"Construction of Barge Jetty and Stacking Bay at Beachland Estate, beside Ramayian Oil & Gas, Ibafon LGA",Infrastructure
"Construction of Power Transmission and Gas Pipeline from Obajana to Alape Special Agricultural Processing Zone Hub, Alape Odo in Kabba / Bunu LGA",Oil & Gas
"Kwara State Special Livestock Processing Zone at Malete, Moro LGA",Agriculture
31.12MW Victoria Island Embedded Power Generation Plant Project in Eti-Osa LGA,Power
Land Reclamation along Badagry Canal & Construction of Semolina Mill and Pasta Plants at Tinca Island Port Apapa LGA ,Infrastructure
Gold Mining Site at Ngaski LGA,Mining
"Granite Quarry 24685 QL at Dutse, Igabi LGA",Mining
Construction of 150 Units of Houses in Chachi Area,Infrastructure
Granite Quarrying at Ishielu LGA,Mining
Gem Stone Mining at Ijero LGA,Mining
PriVida Solar Mini-grid Power Project at Awe & Lafia LGAs,Renewable Energy
Columbite/Tourmaline Mining Operation (23123 SSML) at Karu LGA,Mining
Lead/Zinc Ore Exploration & Mining (27173 EL) at Wamba LGA,Mining
"Electrical Products/Components Including Led Bulb, Switches, Sockets, Lamb Holder and Circuit Breaker Factory at Kwali Area Council Abuja",Manufacturing
Trans-Sahara Optic Fibre Broadband Project ,Telecommunications
PriVida Solar Mini-grid Power Project at Apa & Ushogo LGAs,Renewable Energy
PVC Pipe Production at Shagamu LGA,Manufacturing
Crop and Livestock Farm at Gboko LGA ,Agriculture
"PriVida Solar Mini-grid Power Project at Olamaboro, Omala, Ofu, Igala-Mela/Odolu & Bassa LGAs",Renewable Energy
"Development of Solar PV Mini-Grids in Paikoro, Lapai and Gurara LGAs",Renewable Energy
"Allainz Jetty Project at Mile 2 Creek, Mazamaza, Amuwo Odofin LGA",Infrastructure
"Bottling Plant at Ezinato Nsude Town, Udi LGA",Manufacturing
The Nigeria Innovation Programme,Others
"Basic Data Collection/ Survey on IoT - Based Livestock Identification, Tracing, Security and Health Alert System (NAMATRAC) In Nigeria",Others
"Granite Mining and Processing Quarry at Ikpeshi Community, Akoko-Edo LGA",Mining
"Operation of a Floating Powership at Ogorode, Sapele ",Power
"Exploration for Lead, Zinc, Copper and Gold (26979EL) at Karim Lamido LGA",Mining
"Exploration for Lead, Zinc, Copper and Gold (26980EL) at Karim Lamido LGA",Mining
"Exploration for Tourmaline, Amethyst, Beryl, Lead (28623EL) at Akamkpa LGA",Mining
"Exploration for Lead, Zinc, Copper, Tin and Columbite (27349EL) at Kurmi LGA",Mining
100kWp Isolated Solar- Mini-Grid Power Plant at Obanliku LGA,Renewable Energy
100kWp Isolated Solar Mini-Grid Power Plant at Bende LGA,Renewable Energy
"100kWp Solar Mini-Grid Power Plant at Bulafara, Gulani LGA",Renewable Energy
100kWp Solar Mini-Grid Power Plant at Kajuru LGA,Renewable Energy
100kWp Solar Mini-Grid Power Plant at Bali LGA,Renewable Energy
100kWp Solar Mini-Grid Power Project at Ibarapa LGA,Renewable Energy
"100kWp Solar Mini-Grid Power Project at Alwaza, Doma LGA",Renewable Energy
Agro-Climatic Resilience in Semi-Arid Landscape (ACRESAL) Project [P175237],Agriculture
"Presidential Executive Order No 5(PEO-05) on Planning and Execution of Projects, Promotion of Nigerian Content in Contracts, Science, Engineering and Technology",Others
"Popular Foods Rice Mills Processing at Chalawa Industrial Estate, Kumbotso LGA",Manufacturing
"Footwares Production Facility along Lagos - Ibadan Expressway, Oyeleke Village, Shagamu LGA",Manufacturing
"Jigawa State Industrial Park at Naannabi Reserve, Gagarawa LGA",Infrastructure
"Exploration for Lead, Zinc, Tin and Columbite (27438EL) at Kurmi LGA",Mining
"Exploration for Lead, Zinc, Copper, and Gold (26982EL) at Wase LGA",Mining
"Exploration for Lead, Zinc, Copper and Gold (26981EL) at Karim Lamido LGA",Mining
Kalaekule Produced Water Disposal Pipeline Environmental and Social Impact Assessment Studies in OML 71 and OML 72,Oil & Gas
"Six (6) Mini-Grid Sites in Etung, Boki and Bakassi LGAs",Renewable Energy
"Special Agro-Industrial Processing Zones in Patigi, Edu, Asa and Ifelodun LGAs",Manufacturing
"Special Agro-Industrial Processing Zones in Shagamu, Yewa North (Sawonjo) and Obafemi-Awode (Ajegunle) LGAs",Manufacturing
"Special Agro-Industrial Processing Zones in Akinyele (Ijaiye), Oyo West (Fashola) and Ibarapa East (Eruwa) LGAs",Manufacturing
"Special Agro-Industrial Processing Zones in Bagwai, Garun Malam, Gezewa, Makoda, Dawakin Kudu and Bebeji LGAs",Manufacturing
"Special Agro-Industrial Processing Zones in Igabi, Giwa, Lere, Ikara, Kachia and Kubau LGAs",Manufacturing
"Special Agro-Industrial Processing Zones in Gwagwalada Area Council (Paikon Kore), Abuja Municipal Area Council (Abuja Technology Village, Piyakasa) and Karshi Area (Wasa Grazing Reserve)",Manufacturing
Sand Dredging and Mining (23342QL) in Ibeju-Lekki LGA,Mining
Dredging and Mining (23722 SSML) in Kachai LGA,Mining
Granite Quarry and Mining (22837 QL) in Oluyole LGA,Mining
Correspondence with the Nigerian Institute of Environmental Engineers,Others
"Sector Center C&D District Engineering Infrastructure Project in Phase II FCC (Kaura, Duboyi & Part of Durimi Districts), Abuja",Infrastructure
"Gwarimpa II District Engineering Infrastructure Project, Gwarimpa District, Abuja",Infrastructure
"Construction of Sani Bello University, Kontagora",Infrastructure
Nigeria for Women Project,Others
Nigeria Integrated Workplan for Nuclear Infrastructure Development,Others
Nigerian Safety Regulations on Commissioning of Nuclear Power Plants,Others
Manuso Full Field Development Project (OML 61) In Ahoada West LGA,Oil & Gas
NEWMAP Projects in Ekiti State,Infrastructure
"Mini-Grid Sites at Oyun, Edu, Baruten, Kaima, Asa, Pategi and Ifelodun LGAs",Renewable Energy
"25 Mini-Grid Sites at Shiroro, Bosso, Paikoro, Katcha LGAs",Renewable Energy
"Soya Oil and Rice Mill at Akko Town, Amada",Manufacturing
"Ogoja-Yala Rice Processing Plant at Igoli-Okuku Road, Ogoja LGA",Agriculture
"Cocoa Regional Transformation Centre, Atimaka, Ikom-Ogoja Expressway Ikom LGA",Agriculture
"Construction of 60KW Solar Mini Grid at Binjin Muza Village, Yabo LGA",Renewable Energy
 Bus Rapid Transit (BRT) Phase I ,Infrastructure
Installation of Internet Mash at Lugbe - AMAC,Telecommunications
"Patoski Hazardous Waste Incineration Facility at Zarama, Yenagoa LGA",Waste Management
80KWp Solar Mini-Grid at Bolorunduro Nsegba Community in Gboyin LGA,Renewable Energy
Alternative Fuel Project at Gboko,Renewable Energy
Special Agricultural Processing Zone Project at Okigwe,Agriculture
Victoria Integrated Farms - Special Agricultural Processing Zone Project at Ngor Okpala,Agriculture
Establishment of Akufo Farm Settlement at Ido LGA,Agriculture
Establishment of Eruwa Farm Settlement at Ibarapa East LGA,Agriculture
Scaling Up Small Hydro Power in Nigeria GEF - UNIDO,Others
"Soil Erosion and Flood Control Project at Ayetoro, Ilaje LGA",Others
Lithium Exploration Mining 27975EL at Kokona LGA  ,Mining
Ardova Upgrade of 600m3 Liquified Petroleum Gas (LPG) Bulk Plant at Nasarawa LGA,Oil & Gas
"Magnum Office and Shopping Mall, Amuwo Odofin LGA",Infrastructure
Granite Quarrying and Mining (23450 QL) at Kachi LGA,Mining
Lithium Exploration Mining 27976EL at Kokona LGA,Mining
Masco Agro Allied Rice Milling Plant at Kumbotso LGA,Agriculture
Dam Projects,Infrastructure
"Dangote Sugar Refinery Airstrip at Dangote Sugar Project Site at Tunga District, Awe LGA",Infrastructure
Northern Cluster Project at Nembe LGA,Oil & Gas
Nembe Cluster Project at Nembe LGA,Oil & Gas
Santa Barbara Cluster Project at Nembe LGA,Oil & Gas
Odeama Cluster Project at Brass LGA,Oil & Gas
Limestone Exploration 27308EL in Okene LGA,Mining
"Coal Mining Project 29663EL in Obollo-Orie, Udenu LGA ",Mining
"Dredging and Sweeping of NPA Water Ways , Abonnema River, Port-Harcourt ",Infrastructure
"Dangote Cement Okpella Plant Airstrip at DCP Okpella Plant, Etsako East LGA",Infrastructure
"ESMP for the Development of PV Solar Mini-Grid Project at Ukum, Logo, Kastina-Ala, Usongo, Konshisha, Vandeikya, Kwande and Buruku LGAs",Renewable Energy
"Battery Manufacturing Operation in Ukwa West L.G.A, ",Manufacturing
"Radio Tower Project, Ado-Odo LGA ",Telecommunications
Digitization of Environmental Impact Assessment [EIA] in Nigeria,Others
Presidential Power Initiative,Others
ESMP for Solar PV Mini-Grid projects in Akwa Ibom State,Renewable Energy
Federal Executive Council Memo,Others
"Green Agro Allied Industrial Park (GAAIZ), Chikun LGA",Infrastructure
Power Transmission Project from Port Harcourt Office Complex to Total Village,Oil & Gas
"Floor Tiles Production Plant in Dakatsalle, Bebeji LGA",Manufacturing
"Mining and Processing of Gold, Cassiterite, Talc, Lead and Silver Deposit (550EL) Project at Pategi LGA and Yagba-East LGA",Mining
Solar Mini-Grid Power Project (100Kwp) in Maiha LGA,Renewable Energy
597 BTS (Phase IV) Base Transceiver Station (BTS) in 30 states and the FCT,Telecommunications
Peripheral Wall and Land Survey of Newly Acquired 250 Hectare Land in Eleme LGA,Infrastructure
"11 Mini-Grid Sites in Akure North, Irele, Idanre, Ondo West, Ilaje and Ese Odo LGAs",Renewable Energy
Challawa Gorge Dam Watershed Management Sub-Program ,Infrastructure
Gashua Irrigation Scheme,Infrastructure
"Jama'are River Basin Regulation Dam, Toro LGA",Infrastructure
Sand Mining and Dredging in Kachia LGA,Mining
"Guinness New Bailey's / Mainstream Spirits Line Project, Ikpoba-Okha LGA",Manufacturing
"The Redeemed Christian Church of God National Headquarters Coastal Worship Center at Ebutte Meta, Lagos Mainland",Infrastructure
"Construction of 5km Road in Ukana LGA, Ukana-Akpautong-Ikot Ntuen Road",Infrastructure
46.412Km Ado Ekiti - Akure Road Project,Infrastructure
Integrated Platform on National Environmental Assessment,Others
"Guinness New Bailey's / Mainstream Spirits Line Project, Ogba, Ikeja LGA",Manufacturing
"Phase 2 Agro Business Expansion Project, Saninge, Karu LGA",Agriculture
Environmental Liability Compensation Act,Others
"Marble (Dolomite), Feldspar and Gemstone Mineral Exploration (22817 EL) within Alaguntan Igbori Village, Olorunsogo LGA",Mining
350kwP Solar Mini-Grid in Toto LGA,Renewable Energy
"Solar Hybrid Mini-Grid Project in Abule Oluwo-Oke, Obafemi Owode LGA",Renewable Energy
Mining/Exploration of Limestone Deposit (26844 EL) in Bassa LGA,Mining
"Solar Mini-Grid Power (50kwp) at Nsofang Community, Ikom LGA",Renewable Energy
Mining and Processing of Barite (30491EL) at Akampa LGA,Mining
"Owopele Field Development in OML 65, Western Region of Niger Delta, Udu LGA",Oil & Gas
Inner Southern Expressway (ISEX) from the Outer Southern Expressway (OSEX) in Central Business District (CBD),Infrastructure
"Gold Ore Exploration and Mining (23008SSML, 23007SSML, 23009SSML, 23010SSML) at Ngaski LGA",Mining
100KWp Solar Mini-Grid at Makasauro Community in Daura LGA,Renewable Energy
"Capegate Integrated Waste Management Facility, Walari, Kumbotso LGA",Waste Management
"Capegate Integrated Waste Management Facility, Kalibawa, Dawakin Tofa LGA",Waste Management
"Capegate Transfer Loading Station, Wuju Wuju, Dala LGA",Waste Management
"Review of National Industrial Environmental Policies, Regulations and Standards in Nigeria",Nil
Proper Evacuation of Stolen Crude Oil and Illegally Refined Products,Others
"Capegate Recycling Plant, Zaura, Ungongo LGA",Waste Management
"Capegate Integrated Waste Management Facility, Rimin Zakara, (FADAMA BUK) Ungongo LGA",Waste Management
"Capegate Transfer Loading Station and Material Recycling Facility at Goron Dutse, Dala LGA",Waste Management
Water Factory in Kwali ,Manufacturing
Quarrying of Sand in Lagoon (QLS 21595),Mining
Rice Mill in Argungu,Manufacturing
"Vegetable Oil Process and Warehouse Expansion at Flowergate Industrial Estate, Sagamu",Manufacturing
"Factory and Warehouse Expansion at Flowergate Industrial Estate, Sagamu",Manufacturing
Secured Bunkering Anchorage (SBA) at Offshore Lagos,Infrastructure
River Training (Canalization of the Old Ekoli River) at Yenagoa LGA,Infrastructure
Dualization of Ahoada - Omuku road in Ahoada East LGA,Infrastructure
"100kW Solar Power Mini-Grid Project in Odo-Oro town, Ikole LGA",Renewable Energy
"3D Seismic Survey/Data Acquisition and Drilling of Exploration and Approval wells in OPL 2005, Ogbia LGA",Mining
"3D Seismic Survey/Data Acquisition and Drilling of Exploration and Approval wells in OPL 2006, Abua-Odual LGA",Mining
"Development of 100kWp Solar Mini-Grid at Igarra Community, Edo-Akoko LGA",Renewable Energy
"Construction of a Barge Terminal and Stacking Bay, No. 8 Taylor Street, Iddo, Ebute Metta, Mainland LGA",Infrastructure
"Construction of a Bonded Terminal for loading and off loading of Barges, Ojo LGA",Infrastructure
"Solar Mini-Grids in Dokan Itu, Soba LGA",Renewable Energy
Solar Mini-Grid in Abugi-Kupa Lokoja LGA,Renewable Energy
Environmental and Social Safeguard Guidelines,Others
"Installation of a Solar Photovoltaic (PV) and Battery Storage System in Amaeke-Ngwo, Udi LGA",Power
Rumuepirikom-Ada George Road Flyover Bridge in Obio/ Akpor LGAs,Infrastructure
Environmental Safeguards Instrument,Others
ATC Nigeria Phase 16 BTS (294 BTS in 35 States and the FCT) ,Telecommunications
"Lithium Exploration Mining 28218EL at Nasarawana LGA, ",Mining
"Lithium Exploration Mining 28217EL at Nasarawa LGA, ",Mining
"Lithium Exploration Mining 28216EL at Nasarawa LGA, ",Mining
OPL 228 3D Seismic Survey ,Oil & Gas
Sustainable Banking Principles by Central Bank of Nigeria,Others
Exploration Wells Project OML 79 (E-Block) in Southern Ijaw and Ekeremor LGAs,Oil & Gas
Correspondence with African Development Bank (AfDB),Others
"Iron and Steel Manufacturing Plant, Nkwelle Ezunaka, Oyi LGA",Manufacturing
"Exploration of Gold, Copper and Lead (27389EL), at Borgu LGA",Mining
Mining/Quarrying of Granite Deposit  (27225QL) at Kiru LGA ,Mining
Jetty/Terminal Construction,Infrastructure
"Quarry Lease for Quartz, Granite and Sand (34421QLS) at Abeokuta North LGA",Mining
Exploration of Iron Ore (EL22928) at Eggon LGA,Mining
Exploration of Limestone (EL22929) at Gboko LGA,Mining
Granite Quarry (25735QL) at Kubau LGA,Mining
Sand Mining and Dredging (23614SSML) at Madobi LGA,Mining
"40Km Gas Supply Pipeline Project at Southern Ijaw, Brass & Nembe LGAs ",Oil & Gas
Lead and Zinc Ore Exploration / Mining (27568EL) at Wamba LGA ,Mining
Tourmaline Gemstone Exploration / Mining (28240EL) at Karu LGA,Mining
Tourmaline Gemstone Exploration / Mining (28239EL) at Karu LGA,Mining
"Propane Dehydrogenation and Poly-Propylene Plant, Eleme LGA",Manufacturing
"IEFCL-Train3 Project, Eleme LGA",Manufacturing
Granite Quarrying (23273 QL) at Umu-Nneochi LGA,Mining
Beryl Gemstone Exploration / Mining (27929 EL) at Oluyole LGA,Mining
Beryl Gemstone Exploration / Mining (27930 EL) at Itesiwaju LGA,Mining
Granite Quarry / Mining (21696 QL) at Oluyole LGA,Mining
Tourmaline Gemstone Exploration / Mining (27969 EL) in Karu LGA,Mining
Erosion Control in Aba and Umuahia Cities ,Infrastructure
Urgent Intervention of Road Transport Component in Aba and Umuahia Cities,Infrastructure
Integrated Waste Management Component in Aba and Umuahia Cities,Infrastructure
"Construction of Bonded Terminal / Jetty Project at Kirikiri town, Ori-Ade L.C.D.A, Amuwo/Odofin LGA",Infrastructure
Mining and Dredging of Sand Deposit in Badagry LGA,Mining
Ondo State Infrastructure Water Supply Project at Akure North and Akure South LGAs,Infrastructure
100kWp Solar Mini Grid Project at Ayamelum LGA,Power
"Sand Dredging and Mining (23669 SSML) at Angwan Duku, Ikara LGA",Mining
"Underground Coal Mining (26529 SSML) at Olokwu Village, Omala LGA",Mining
"Beryl, Spodomene Exploration/Mining (27928 EL) at Iwajowa LGA",Mining
"Edo Tech Park at Benin Technical College, Ugbowo, Egor LGA",Infrastructure
"Seafood (Snails, Catfish, Tilapia, Prawns, Shrimps & Lobster) Farm Project at Elepete Town, Ibeju-Lekki LGA",Agriculture
"Gold, Tourmaline and Aquamarine Exploration Project (26697EL) at Roguwa Village, Karu LGA",Mining
ATC SPACE X (4 Sites),Telecommunications
Sand Mining in Khana LGA,Mining
"Construction of 8.4km Underground Cable Plus 4km overhead 132kV DC, Katampe National Stadium Transmission Line in AMAC, Katampe and Wuye",Power
"Ogun State Special Agro-Industrial Processing Zone (SAPZ) Hub, Sagamu LGA",Agriculture
"Obesere 120MW/HR Solar Farm at Jabata Community, Surulere LGA",Power
"Construction of Bonded Terminal/Jetty Project at Muwo Community, Ojo LGA",Infrastructure
"ACME Medical Park, Abuja",Infrastructure
Gold Ore Exploration and Mining (28004 EL) at Rafi LGA,Mining
"OML 32, 35 and 46 3D Seismic Data Acquisition at Ekeremor, Southern Ijaw and Burutu LGAs",Oil & Gas
Port-Harcourt Customer Connect at Port-Harcourt,Infrastructure
Quartz Exploration (27920 EL) at Gashaka LGA ,Mining
Gold Ore Exploration and Mining ( 27877EL) at Tafa LGA,Mining
Gold Ore Exploration and Mining (28005 EL) at Shiroro LGA,Mining
Tourmaline and Tin Ore Exploration and Mining (27303 EL) at Kokona LGA,Mining
"Construction of Reinforced Concrete Pit at Iganmu, Surulere LGA",Infrastructure
Mining and Quarrying of Granite Deposit (21407 QL) at Karu LGA,Mining
Exploratory and Appraisal Well Drilling of OPL 281 at Burutu LGA,Oil & Gas
Installation of Aniesco Rotary Incinerator at Etche LGA,Infrastructure
"Argisol Building System Manufacturing Plant at Abuja Technology, Village Science and Technology Park and Special Economic Zone",Manufacturing
Installation of 100kWp Solar Mini-Grid project at Ekeremor LGA,Power
150 Tonnes Per Day (TPD) LNG Plant Facility at Ewekoro LGA,Oil & Gas
Nigeria COVID-19 Preparedness and Response Project (COREP),Others
Bitumen Block Development Project at Ogun Waterside and Odigbo LGA,Mining
600MW Solar Power Plant in Kabba LGA,Renewable Energy
Environmental and Social Management Plan (ESMP) and Resettlement Action Plan (RAP) for NEWMAP,Others
Mining and Exploration of Gold Mineral Deposit (20030EL) at Shiroro LGA,Mining
"Sustainability Enhancement, Expansion and New Logistics Centre in Ogba Industrial Estate, Ikeja LGA",Infrastructure
2021 Capital Projects on Erosion and Flood,Infrastructure
"Mini-Grid Project at Nguroje Community, Sardawa LGA",Renewable Energy
Golden Economic Triangle Super rail and Highway ,Others
"Integrated Ammonia and Diammonium Phosphate (DAP) / Nitrogen, Phosphorus, Potassium (NPK) Fertilizer Production at Ikot Abasi and Eastern Obolo LGAs ",Oil & Gas
Iron Ore Exploration and Mining (35116 EL) at Koton Karfe LGA,Mining
Granite Quarrying / Mining (23477 and 23478 QL) at Igabi LGA ,Mining
Correspondence with Sustainable Development Goals,Others
"7.4km 2"" Gre Pipeline Construction at New Farm Road to Sapele West, Okpe LGC",Infrastructure
Safeguards Instruments for IUFMP Sites,Infrastructure
Construction of Shoreline for a Loading Terminal at Amuwo-Odofin LGA,Infrastructure
Tin / Tantalite Ore Exploration and Mining (23943 SSML) at Ola Oluwa LGA,Mining
Open Cast Mining (28001EL) at Mangu LGA,Mining
Open Cast Mining (28002EL) at Mangu LGA,Mining
Agro Chemical Processing Plant at Lokoja LGA,Agriculture
Sokoto Basin,Infrastructure
Agro-Industrial Park at Markudi,Agriculture
Extension Works at Berth 11 and Construction of 2 Ramps at PTML Terminal at Apapa LGA,Infrastructure
"150 TPH Fertilizer and 500,000 TPH Granule Processing Plant at Asari, Wamakko LGA",Agriculture
Rural Electrification Project,Power
Rural Electrification Project,Power
Epu Phase 3 Project at Kolokuma / Opokuma LGA,Oil & Gas
Granite Quarrying / Mining(23474QL and 23475QL) at Chikun LGA,Mining
Improved Breeding Beef and Milk Production for Enhanced Productivity of Indigenous Cattle ,Agriculture
Agro Cargo Terminal at Sultan Abubakar International Airport ,Agriculture
Establishment of Entrepreneurship Centers to Strengthen Secondary and Higher Education,Infrastructure
Establishment of College of Health Sciences and Equipping University Teaching Hospital at the Sokoto State University,Infrastructure
Oil Palm Plantation Development Project at Odigbo LGA,Agriculture
Coastal Railway Project through 11 States in Nigeria,Infrastructure
"Construction of 2 X 15MVA, 33/11KV Injection Substation in Gwarimpa District, Abuja Municipal, FCT-Abuja",Power
Sugarcane Farm Project at Mokwa LGA,Agriculture
Solar Mini-Grid - Policy Issues,Others
Establishment of Zonal Medical Warehouse,Infrastructure
ATC Nigeria BTS Compliance Status,Telecommunications
Baseline Survey Studies for Bida Basin,Oil & Gas
Brass Island Shipyard at Yenagoa,Infrastructure
"Roll-out of Standard Operating Procedures (SOPs) in Core Ministries, Service Wide",Others
"Harbor Point Memorial Hospital at Victoria Island, Eti Osa LGA",Infrastructure
Construction and Operation of a Gas Processing Plant at Ndokwa West LGA,Oil & Gas
Solar Hybrid Mini-Grid Project at Patigi LGA,Renewable Energy
Solar Hybrid Mini-Grid at Ondo West and Odigbo LGA,Renewable Energy
Solar Mini-Grid Project in Southern Ijaw LGA,Renewable Energy
2D Seismic Data Acquisition at Bida Basin,Oil & Gas
"Lead/Zinc Minerals Mining at Dogon Ruwa, Wase LGA",Mining
"100KW Solar Mini-Grid at Isingwa Community, Isiala Ngwa North LGA",Renewable Energy
"717.9 Hectares Green Economic Zone (GEZ) at Maraban Jos, Along Kaduna-Jos Road",Agriculture
"500 Hectares Green Agricultural Zone (GEZ) at Maraban Jos, Along Kaduna-Jos Road",Agriculture
"Granite Stone Quarry (34497 QLS) along Akure-Ilesha Highway, Igbara-Oke, Ifedore LGA",Mining
"Chemical Production/Blending Plant at Mbodo-Aluu, Ikwerre LGA",Manufacturing
"Uranium Mining at Mika Village, Yorro LGA",Mining
"Solar Mini-Grid at Ikenne Market, Ikenne LGA",Renewable Energy
"32 Solar Hybrid Mini-Grid at Akamkpa, Ikom, Boki, Odukpani, Yala, Yakurr, Ogoja and Biase LGAs",Renewable Energy
"Sand Mining (33328 SSML & 33544 SSML) at Imota, Ikorodu LGA",Mining
"Correspondence with Centre for Environmental Management and Control (CEMAC), University of Nigeria, Enugu Campus, Nigeria",Others
"Construction of 3 & 4 Bedrooms Fully Detached Housing Estate at Plot 1003, Along B-Close, 7th Avenue, Gwarimpa II Estate, AMAC LGA",Infrastructure
Golden Morn Filling Plant at Sagamu LGA,Manufacturing
NEWMAP Projects in Ondo State,Infrastructure
"Pharmaceutical Factory in Ota Industrial Estate, Ado Odo-Ota LGA",Manufacturing
"90kW Isolated Solar Mini-Grid Project in Oluagbo community, Ese-Odo LGA",Renewable Energy
ESMF & RPF for Highway Development and  Management Initiative (HDMI) - Value Added Concession (VAC) Project - Phase 1,Infrastructure
"100,000 Barrels Capacity Crude Oil Buffer Storage Tank Facility for OML 20 at Ohaji-Egbema LGA",Oil & Gas
"Gold Ore Exploration and Mining (34095 EL) at Lapai LGA, ",Mining
Iron Ore/Ilmenite Mining at Kwande LGA,Mining
Small Scale Mining (SSML 25029) at Talata Mafara LGA,Mining
ATC Nigeria Phase 17 BTS (272 BTS in 32 States and the FCT),Telecommunications
Gold Ore Exploration and Mining (34154 EL) at Kebbe LGA,Mining
Sand Dredging and Mining (23682 QL) at Kachia LGA,Mining
"Composite LPG Cylinders Manufacturing Facility, along Dawakin Kudu - Kano road, Dawakin Kudu LGA",Oil & Gas
"Solar Mini-Grid at Miyaki, Lapai LGA",Renewable Energy
States Telecoms Issues,Others
National Centre for the Coordination of Early Warning and Response Mechanism (NCCRM),Others
Automation of EIA Processes,Others
Four (4) Off Grid Solar Hybrid Mini-Grid at Idanre LGA,Renewable Energy
Bitumen Exploration (EL28420) at Okitipupa LGA,Mining
"Special Cocoa City - Out Growers Scheme at Ikom, Obubra, Etung, Obudu and Boki LGAs",Agriculture
Special Cocoa City - Agro Industrial Centre (AIC) at Ikom LGA,Agriculture
"Ubeta Field Development at OML 58, Ogba Egbema Ndoni LGA",Oil & Gas
Marble Exploration and Mining (24322QL) at Isin LGA,Mining
Matari Solar Mini - Grid at Sabo LGA,Renewable Energy
 3D Seismic Survey/ Data Acquisition  OML-13 ,Oil & Gas
Agro-Allied Cargo Airport in Ado - Ekiti LGA,Infrastructure
"2 X 1.5MW Gas Power Plant and Associated 2 X 80M3 Gas Storage Tank at Julius Berger facility, Utako ",Power
"2 X 1.5MW Gas Power Plant and Associated 2 X 80M3 Gas Storage Tank at Julius Berger Fabrication Yard, Idu Industrial Area",Power
,
Maiduguri Emergency Power Project (MEPP) at Maiduguri,Power
"Oriental Energy Resource (OER) Farms, University Of Ilorin",Agriculture
"Construction of Bonded Terminal and Container Stacking Bay, at Abule Oshun Village, Amuwo Odofin LGA",Mining
"Cassiterite( TIN), Columbites and Topez Mining 24436 in Jos North LGA",Mining
Sustainability and Conservation Education for Rural Areas ( SCERA),Others
Agro-Climatic Resilience in Semi-Arid Landscape (ACReSAL) ,Others
"14,000TPD Liquefied Natural Gas (LNG) Plant at Onne LGA",Oil & Gas
1350MW Kano Independent Power Plant (IPP) and Associated Lines at Bebeji LGA,Power
"Chemical Production/Blending Plant at Mbodo-Aluu, Ikwerre LGA",Manufacturing
"Design of Engineering Infrastructure for Kabusa District Phase III - Federal Capital City, Abuja",Infrastructure
"36KW Solar Hybrid Mini-Grid in Yanlami Community, Bichi LGA",Renewable Energy
Agro Processing Plant at Kumbotso LGA,Agriculture
"OML 58 Solarisation at Obite Gas Treatment Centre, Ogba Egbema Ndoni LGA",Renewable Energy
"Lead/Zinc Mining (22178SSML) at Gwana, Alkaleri LGA",Mining
